from,to,Duration,frequency,dX,dy,dz,posn.qlty,Hgt.qlty,posn+Hgt. qlty,slope dist,sd.slope dist,ref.Ant.Hgt,Rov.Ant.Hgt sd.x ,,sd.y,sd.z,M0,Q11,Q12,Q13,Q22,Q23,Q33
AB49,JACOBS,13' 20'',L1/E1+L2,301.686,-192.4815,-125.7966,0.0006,0.0012,0.0014,379.3262,0.0004,1.3035,1.1672,0.0009,0.0009,0.0005,0.6187,0.00000195,0.0000017,0.00000076,0.00000215,0.00000075,0.00000066
AB12,BS3,22' 20'',L1/E1+L2,-71.4046,7.4328,63.1926,0.0003,0.0005,0.0006,95.6408,0.0002,1.3876,1.3201,0.0004,0.0003,0.0003,0.4254,0.00000082,0.00000049,0.00000048,0.00000054,0.00000037,0.00000067
GPS2,BS3,22' 20'',L1/E1+L2,79.233,-74.7477,-14.1516,0.0003,0.0006,0.0007,109.8424,0.0002,1.309,1.3201,0.0005,0.0004,0.0004,0.5324,0.00000074,0.00000041,0.00000044,0.00000046,0.00000033,0.00000066
AB43,AB42,23' 25'',L1/E1+L2,28.5001,-68.8521,28.0962,0.0006,0.0013,0.0014,79.6384,0.0004,1.3446,1.5709,0.001,0.0007,0.0007,0.9744,0.00000114,0.00000054,0.00000054,0.00000053,0.00000035,0.00000054
GPS2,AB42,24' 10'',L1/E1+L2,-159.2639,145.6657,47.8964,0.0009,0.0018,0.002,221.0827,0.0006,1.3896,1.5709,0.0014,0.0012,0.0009,1.1771,0.00000144,0.00000089,0.00000063,0.00000099,0.00000046,0.00000058
GPS3,JACOBS,24' 35'',L1/E1+L2,246.3819,-201.2576,-57.756,0.0005,0.0008,0.0009,323.3333,0.0003,1.3676,1.1672,0.0006,0.0005,0.0004,0.7394,0.00000063,0.00000038,0.00000027,0.00000051,0.00000024,0.00000033
AB47,AB48,26' 15'',L1/E1+L2,49.6815,24.204,-71.659,0.0007,0.0013,0.0015,90.4937,0.0005,1.4908,1.4377,0.0009,0.0007,0.0009,1.0617,0.00000079,0.0000004,0.00000055,0.00000041,0.00000027,0.00000068
AB49,AB48,28' 00'',L1/E1+L2,-77.5348,57.0753,28.7692,0.001,0.0018,0.002,100.4834,0.0006,1.4878,1.4377,0.0013,0.001,0.0012,1.5068,0.00000075,0.00000039,0.0000005,0.00000045,0.00000023,0.00000064
AB49,GPS3,30' 20'',L1/E1+L2,55.3016,8.7662,-68.0471,0.0005,0.0008,0.001,88.1222,0.0003,1.3035,1.3676,0.0006,0.0006,0.0003,0.6912,0.00000084,0.0000007,0.00000029,0.00000085,0.00000026,0.00000024
AB47,AB49,26' 25'',L1/E1+L2,127.2187,-32.8691,-100.4217,0.0007,0.0012,0.0014,165.3769,0.0004,1.4908,1.4878,0.0009,0.0007,0.0008,1.0698,0.00000068,0.00000036,0.00000042,0.00000046,0.0000002,0.00000053
AB43,AB44,27' 35'',L1/E1+L2,-4.4465,120.7341,-128.1422,0.0005,0.0009,0.001,176.1162,0.0003,1.2183,1.5118,0.0006,0.0005,0.0006,0.7003,0.00000076,0.00000044,0.00000047,0.00000053,0.00000044,0.00000074
AB45,AB44,27' 35'',L1/E1+L2,43.1475,-65.5091,8.9146,0.0007,0.0013,0.0014,78.947,0.0004,1.2744,1.5118,0.0009,0.0007,0.0009,0.9374,0.00000088,0.0000005,0.00000057,0.00000056,0.0000005,0.00000086
GPS2,AB12,29' 20'',L1/E1+L2,150.6381,-82.1831,-77.345,0.0004,0.0008,0.0009,188.2237,0.0003,1.309,1.3876,0.0006,0.0004,0.0005,0.6926,0.00000063,0.00000038,0.00000036,0.00000041,0.00000028,0.00000051
AB47,AB46,31' 45'',L1/E1+L2,4.808,-96.9884,78.3486,0.0006,0.0012,0.0013,124.7733,0.0005,1.5048,1.5128,0.0008,0.0006,0.0009,1.0205,0.00000068,0.0000003,0.00000055,0.00000029,0.00000025,0.00000071
AB45,AB46,31' 45'',L1/E1+L2,-28.9559,83.1165,-43.7264,0.0004,0.0008,0.0009,98.2792,0.0003,1.2574,1.5128,0.0006,0.0004,0.0006,0.745,0.00000065,0.00000029,0.00000051,0.00000029,0.00000025,0.00000068
AB43,GPS2,46' 30'',L1/E1+L2,187.789,-214.4858,-19.7899,0.0006,0.0012,0.0013,285.763,0.0005,1.3446,1.3896,0.0009,0.0007,0.0007,1.3433,0.00000045,0.00000023,0.00000024,0.00000027,0.00000016,0.00000026
AB45,AB43,31' 55'',L1/E1+L2,47.5942,-186.2463,137.0583,0.0004,0.0008,0.0009,236.0887,0.0003,1.2744,1.2183,0.0006,0.0004,0.0004,0.7974,0.00000062,0.00000028,0.00000025,0.00000029,0.00000016,0.00000029
AB45,AB47,39' 35'',L1/E1+L2,-33.781,180.1041,-122.0926,0.0004,0.0008,0.0009,220.1936,0.0003,1.2574,1.5048,0.0006,0.0004,0.0006,0.9753,0.00000035,0.00000019,0.00000024,0.00000021,0.00000016,0.00000036
