from,to,Duration,frequency,dX,dy,dz,posn.qlty,Hgt.qlty,posn+Hgt. qlty,slope dist,sd.slope dist,ref.Ant.Hgt,Rov.Ant.Hgt sd.x ,,sd.y,sd.z,M0,Q11,Q12,Q13,Q22,Q23,Q33,,
GPS2,C1,48' 25'',L1/E1+L2,-13.9786,146.9753,-73.1934,0.0003,0.0006,0.0007,164.7859,0.0002,1.3877,1.372,0.0005,0.0004,0.0004,0.777,0.00000034,0.00000019,0.00000019,0.00000021,0.00000014,0.00000028,Static,Phase: fix all
C2,C1,48' 15'',L1/E1+L2,-752.2666,-26.1184,686.3769,0.0003,0.0005,0.0006,1018.6758,0.0002,1.4247,1.372,0.0004,0.0003,0.0003,0.6483,0.00000033,0.00000018,0.00000018,0.0000002,0.00000014,0.00000028,Static,Phase: fix all
C5,GPS2,1h 06' 35'',L1/E1+L2,1044.0494,-1128.7884,3.7092,0.0005,0.001,0.0011,1537.6008,0.0004,1.4428,1.4127,0.0008,0.0006,0.0005,1.1469,0.00000048,0.00000026,0.00000023,0.00000026,0.00000017,0.00000021,Static,Phase: fix all
C5,C3,1h 15' 10'',L1/E1+L2,719.7731,-909.6695,192.5357,0.0002,0.0005,0.0005,1175.858,0.0002,1.4978,1.5469,0.0003,0.0002,0.0003,0.6823,0.00000023,0.00000011,0.00000016,0.00000011,0.00000009,0.00000021,Static,Phase: fix all
C5,GPS3,39' 25'',L1/E1+L2,957.4423,-572.0517,-404.0875,0.0003,0.0006,0.0007,1186.2653,0.0002,1.4978,1.4628,0.0005,0.0003,0.0004,0.6939,0.00000045,0.00000022,0.00000031,0.00000024,0.00000016,0.00000041,Static,Phase: fix all
GPS3,C1,40' 45'',L1/E1+L2,72.6086,-409.784,334.5808,0.0004,0.0006,0.0007,533.9844,0.0003,1.4948,1.4428,0.0005,0.0004,0.0003,0.7921,0.00000038,0.00000022,0.00000016,0.00000029,0.00000013,0.00000019,Static,Phase: fix all
C3,C1,37' 25'',L1/E1+L2,310.2909,-72.1489,-262.0292,0.0003,0.0005,0.0006,412.4866,0.0002,1.4428,1.4428,0.0004,0.0003,0.0003,0.5413,0.00000054,0.00000026,0.00000023,0.00000031,0.00000014,0.00000022,Static,Phase: fix all
GPS2,C2,,,738.5589667,173.2773667,-759.3657333,,,,1073.373633,,,,,,,,,,,,,,,
C5,C2,,,1782.7382,-955.43035,-755.5529,,,,2159.1348,,,,,,,,,,,,,,,
C3,GPS3,,,237.6737,337.62355,-596.6192,,,,725.55695,,,,,,,,,,,,,,,
