FROM,TO,TYPE,VALUE,dim
c1,c2,dis,1006.15375,meter
c1,c3,dis,410.8255,meter
c1,c4,dis,494.2718,meter
c1,c5,dis,1410.92625,meter
c2,c3,dis,1411.465,meter
c2,c5,dis,2129.3465,meter
c3,c4,dis,375.4927,meter
c4,c5,dis,916.9986,meter
c1,c3,dir,3.998316606,rad
c1,c4,dir,4.834896549,rad
c1,c5,dir,4.804270869,rad
c1,c2,dir,0.661368279,rad
c2,c1,dir,2.270711172,rad
c2,c3,dir,2.327162877,rad
c2,c5,dir,2.8627637,rad
c3,c1,dir,4.653833184,rad
c3,c2,dir,4.515071751,rad
c3,c4,dir,3.296885748,rad
c4,c1,dir,0.272164704,rad
c4,c3,dir,1.220145136,rad
c4,c5,dir,3.366623772,rad
c5,c2,dir,0.452944939,rad
c5,c4,dir,0.845727893,rad
c5,c1,dir,0.862207195,rad
c1,c3,azi,0.61567459,rad
