,VALUE
0,1410.935
1,917.1193441286988
2,2129.3153885906518
3,494.27899999999994
4,377.1945328983159
5,917.1193441286988
6,1410.935
7,494.27899999999994
8,1006.15
9,410.8205
10,410.8205
11,1411.4108520131374
12,377.1945328983159
13,1006.15
14,1411.4108520131374
15,2129.3153885906518
16,0.2721647039999997
17,1.2191389143391165
18,3.360040673663695
19,0.452944939
20,0.8434141783503435
21,0.8622242772764412
22,4.650643343250677
23,4.511819118414641
24,3.2968857480000002
25,3.9983166060000004
26,4.839177454
27,4.804270869
28,0.6613682789999995
29,2.270711172
30,2.3272426205741708
31,2.8627417701337654
32,0.615569749
