,n(m),e(m),u(m)
AB12,3994.730255025485,5717.864168622991,220.30035839942587
AB42,4166.637600240881,6082.303021590231,188.7376727396659
AB43,4134.2630835187565,6155.038519459033,186.20545989822747
AB44,3990.9836364819935,6256.461552080178,167.86470236139746
AB45,3982.2643508744973,6334.870474375031,164.65587203555236
AB46,3932.5120167417767,6419.555966576855,159.72785777734907
AB47,3838.634060867123,6501.742794238355,158.24971073981934
AB48,3748.840464447003,6493.050171237749,163.01744026919152
AB49,3708.0125332188763,6401.811060044531,172.35850749665553
BS3,4077.2091489359577,5764.931443916252,210.9904910252464
C2,3081.2749151226103,5589.653701921959,356.8880507888635
C3,4335.458090981219,6237.165477418263,191.47888065948916
C5,4210.055191644354,7395.196849481537,24.266378394334716
GPS2,4101.011275891326,5871.617044211616,200.62649347697808
GPS3,3623.560891928302,6377.251408000441,175.62642965555688
JACOBS,3528.2977021443207,6071.040725898837,215.0055211483395
