,n(mm),e(mm),u(mm)
AB12,1.1300440524325677,1.1300440524325677,4.47660630176687
AB42,1.0410880142937675,1.0410880142937675,4.126862722733377
AB43,0.8986384104397487,0.8986384104397487,3.562028860590177
AB44,1.3618161003670421,1.3618161003670421,5.417529038150279
AB45,1.1123680164579732,1.1123680164579732,4.4224656973608525
AB46,1.4684224944862407,1.4684224944862407,5.847725747417465
AB47,1.112130907510607,1.1121309075106067,4.422441291724107
AB48,1.3613462848792812,1.3613462848792808,5.417478047835088
AB49,0.8982100058348518,0.8982100058348518,3.5619668136845273
BS3,1.1297412685334092,1.1297412685334092,4.476591529706324
C2,0.5153766817058206,0.5153766817058206,1.9636181613659824
C3,0.501445980674214,0.501445980674214,1.96213885799439
C5,0.5210506797215586,0.5210506797215588,1.9786958669766428
GPS2,0.470480036166287,0.470480036166287,1.841142505368167
GPS3,0.4701425584382085,0.47014255843820857,1.841004208391685
JACOBS,1.0423097665912158,1.0423097665912158,4.126875984880825
