,V(m),V(mm),V(mm) Col1,V(mm) Col2,V(mm) Col3
0,0.000599413,0.6,0.6,-2.9,85.6
1,-0.003588422,-3.6,-3.6,8.9,0.3
2,0.002139316,2.1,2.1,0.3,4.1
3,2.89E-05,0.0,0.0,-0.5,-251.4
4,0.000805102,0.8,0.8,5.7,1.5
5,0.000456428,0.5,0.5,-0.3,-4.6
6,-2.89E-05,0.0,0.0,0.5,46.8
7,-0.000805196,-0.8,-0.8,-5.7,0.4
8,-0.000456428,-0.5,-0.5,0.0,-1.6
9,-0.005140757,-5.1,-5.1,0.8,71.5
10,0.005305133,5.3,5.3,0.5,-0.6
11,0.007306698,7.3,7.3,1.3,2.2
12,0.005149465,5.1,5.1,-1.7,77.7
13,-0.005314119,-5.3,-5.3,1.9,1.9
14,-0.007306737,-7.3,-7.3,-1.3,-0.3
15,-0.000598487,-0.6,-0.6,1.7,92.2
16,0.003582876,3.6,3.6,-1.9,1.0
17,-0.002139293,-2.1,-2.1,2.1,-3.1
18,0.002265036,2.3,2.3,-1.2,73.4
19,-0.00121502,-1.2,-1.2,-24.0,1.6
20,0.007696796,7.7,7.7,-2.8,0.4
21,-0.002265204,-2.3,-2.3,3.6,-55.6
22,0.00121511,1.2,1.2,-10.9,-1.4
23,-0.007696816,-7.7,-7.7,4.4,4.2
24,0.002480142,2.5,2.5,-5.8,-196.6
25,-0.000498133,-0.5,-0.5,18.5,-0.6
26,0.014506989,14.5,14.5,-3.2,1.7
27,0.000811989,0.8,0.8,-0.5,-2.0
28,-0.002854637,-2.9,,,
29,0.008949425,8.9,,,
30,0.00031558,0.3,,,
31,-0.000473877,-0.5,,,
32,0.005714598,5.7,,,
33,-0.000315269,-0.3,,,
34,0.000473411,0.5,,,
35,-0.005714523,-5.7,,,
36,2.89E-05,0.0,,,
37,0.000805936,0.8,,,
38,0.000456433,0.5,,,
39,0.001295782,1.3,,,
40,-0.001693875,-1.7,,,
41,0.001871629,1.9,,,
42,-0.001295475,-1.3,,,
43,0.001693474,1.7,,,
44,-0.001871631,-1.9,,,
45,0.002070767,2.1,,,
46,-0.001241643,-1.2,,,
47,-0.023953039,-24.0,,,
48,-0.002766341,-2.8,,,
49,0.003600852,3.6,,,
50,-0.010931825,-10.9,,,
51,0.004378861,4.4,,,
52,-0.005770165,-5.8,,,
53,0.018517802,18.5,,,
54,-0.003233036,-3.2,,,
55,-0.000540757,-0.5,,,
56,0.085592182,85.6,,,
57,0.00032861,0.3,,,
58,0.004126713,4.1,,,
59,-0.251439019,-251.4,,,
60,0.001500185,1.5,,,
61,-0.004609766,-4.6,,,
62,0.046777003,46.8,,,
63,0.000425126,0.4,,,
64,-0.001563978,-1.6,,,
65,0.07150495,71.5,,,
66,-0.000596069,-0.6,,,
67,0.002240965,2.2,,,
68,0.077660087,77.7,,,
69,0.001941007,1.9,,,
70,-0.000302287,-0.3,,,
71,0.09222886,92.2,,,
72,0.00100128,1.0,,,
73,-0.003148144,-3.1,,,
74,0.073440901,73.4,,,
75,0.001594645,1.6,,,
76,0.000407541,0.4,,,
77,-0.055572569,-55.6,,,
78,-0.00143002,-1.4,,,
79,0.004224567,4.2,,,
80,-0.196601338,-196.6,,,
81,-0.000603774,-0.6,,,
82,0.001678171,1.7,,,
83,-0.002013467,-2.0,,,
